"CLASS","MFR","CAR LINE","DISPLACEMENT","NUMB CYL","TRANS","DRIVE SYS","CITY MPG (GUIDE)","HWY MPG (GUIDE)","COMB MPG (GUIDE)","UNRND CITY (EPA)","UNRND HWY (EPA)","UNRND COMP (EPA)","FUEL TYPE","GUZLR","TURBO","SPCHGR","AVG 2D PASS VOL","AVG 2D LUGG VOL","AVG 4D PAS VOL","AVG 4D LUGG VOL","AVG HB PAS VOL","AVG HB LUGG VOL","ANL FL CST","ENG BLK TXT","TRANS DESC TXT","VLVS PER CYL","CLS","REL DT"
"MIDSIZE STATION WAGONS","MERCEDES-BENZ","E350 4MATIC (WAGON)",3.5,6,"Auto(L5)",4,18,24,20,19.8,30.2,23.43,"P",,,,,,96,41,,,1800," ","EMS 2MODE CLKUP",4,8,
"MIDSIZE STATION WAGONS","MERCEDES-BENZ","E500 4MATIC (WAGON)",5,8,"Auto(L5)",4,16,20,17,17.6,25.5,20.45,"P","G",,,,,96,41,,,2117," ","EMS 2MODE CLKUP",3,8,
"MIDSIZE STATION WAGONS","MERCEDES-BENZ","E55 AMG (WAGON)",5.4,8,"Auto(S5)","R",15,21,17,16.2,27,19.76,"P","G",,"S",,,96,41,,,2117," ","EMS 2MODE CLKUP",3,8,
"MIDSIZE STATION WAGONS","SUBARU","LEGACY WAGON AWD",2.5,4,"Manual(M5)",4,20,26,22,21.68,33.42,25.75,"P",,"T",,,,97,34,,,1638," ",,4,8,
"MIDSIZE STATION WAGONS","SUBARU","LEGACY WAGON AWD",2.5,4,"Manual(M5)",4,22,29,25,24.56,37.31,29.03,"R",,,,,,97,34,,,1320," ",,4,8,
"MIDSIZE STATION WAGONS","SUBARU","LEGACY WAGON AWD",2.5,4,"Auto(S4)",4,23,30,26,25.48,38.4,30.02,"R",,,,,,97,34,,,1270," ","2MODE CLKUP ",4,8,
"MIDSIZE STATION WAGONS","SUBARU","LEGACY WAGON AWD",2.5,4,"Auto(S5)",4,19,25,21,21.21,32.04,25.01,"P",,"T",,,,97,34,,,1714," ","2MODE CLKUP ",4,8,
"MIDSIZE STATION WAGONS","VOLVO","V70 AWD",2.5,5,"Auto(L5)",4,20,27,22,21.76,34.91,26.2,"P",,"T",,,,,,98,36,1638," ","CLKUP ",4,8,
"MIDSIZE STATION WAGONS","VOLVO","V70 AWD",2.5,5,"Auto(S5)",4,20,28,23,22,35.33,26.5,"P",,"T",,,,,,98,36,1566," ","2MODE CLKUP ",4,8,
"MIDSIZE STATION WAGONS","VOLVO","V70 FWD",2.4,5,"Auto(L5)","F",21,28,23,22.78,36.28,27.36,"P",,,,,,,,98,36,1566," ","CLKUP ",4,8,
"MIDSIZE STATION WAGONS","VOLVO","V70 FWD",2.4,5,"Manual(M5)","F",22,29,24,24,37.5,28.64,"P",,,,,,,,98,36,1501," ",,4,8,
"MIDSIZE STATION WAGONS","VOLVO","V70 FWD",2.4,5,"Manual(M6)","F",20,26,22,21.8,33.6,25.89,"P",,"T",,,,,,98,36,1638," ",,4,8,
"MIDSIZE STATION WAGONS","VOLVO","V70 FWD",2.4,5,"Auto(S5)","F",20,28,23,22.6,36.29,27.22,"P",,"T",,,,,,98,36,1566," ","2MODE CLKUP ",4,8,
"MIDSIZE STATION WAGONS","VOLVO","V70 FWD",2.5,5,"Auto(S5)","F",21,29,24,23.1,37.6,27.95,"P",,"T",,,,,,98,36,1501," ","2MODE CLKUP ",4,8,
"MIDSIZE STATION WAGONS","VOLVO","V70 R AWD",2.5,5,"Manual(M6)",4,18,24,21,20.2,31.3,24.04,"P",,"T",,,,,,98,36,1714," ",,4,8,
"MIDSIZE STATION WAGONS","VOLVO","V70 R AWD",2.5,5,"Auto(S6)",4,18,25,20,19.55,32.54,23.83,"P",,"T",,,,,,98,36,1800," ","2MODE CLKUP ",4,8,
"STANDARD PICKUP TRUCKS 2WD","CHEVROLET","C15 SILVERADO HYBRID 2WD",5.3,8,"Auto(L4)","R",18,21,19,19.8,26.5,22.34,"R",,,,,,,,,,1736," ","CLKUP ",2,12,
"STANDARD PICKUP TRUCKS 2WD","CHEVROLET","C1500 SILVERADO 2WD",4.3,6,"Auto(L4)","R",16,21,18,17.95,26.79,21.08,"R",,,,,,,,,,1835," ","CLKUP ",2,12,
"STANDARD PICKUP TRUCKS 2WD","CHEVROLET","C1500 SILVERADO 2WD",4.3,6,"Manual(M5)","R",16,22,18,17.8,27.7,21.21,"R",,,,,,,,,,1835," ","SIL ",2,12,
"STANDARD PICKUP TRUCKS 2WD","CHEVROLET","C1500 SILVERADO 2WD",4.8,8,"Auto(L4)","R",16,21,18,18.3,26.82,21.35,"R",,,,,,,,,,1835," ","CLKUP ",2,12,
"STANDARD PICKUP TRUCKS 2WD","CHEVROLET","C1500 SILVERADO 2WD",4.8,8,"Manual(M5)","R",16,21,18,18.7,28,21.99,"R",,,,,,,,,,1835," ","SIL ",2,12,
"STANDARD PICKUP TRUCKS 2WD","CHEVROLET","C1500 SILVERADO 2WD",5.3,8,"Auto(L4)","R",16,20,18,17.68,26.04,20.67,"R",,,,,,,,,,1835," ","CLKUP ",2,12,
"STANDARD PICKUP TRUCKS 2WD","CHEVROLET","C1500 SILVERADO 2WD",5.3,8,"Auto(L4)","R",12,16,14,13.44,20.46,15.89,"E",,,,,,,,,,2142,"RNG310-480","CLKUP ",2,12,
"STANDARD PICKUP TRUCKS 2WD","CHEVROLET","C1500 SILVERADO 2WD",5.3,8,"Auto(L4)","R",16,20,18,17.8,26.91,21,"R",,,,,,,,,,1835,"RNG420-610","CLKUP ",2,12,
"STANDARD PICKUP TRUCKS 2WD","CHEVROLET","C1500 SILVERADO 2WD",6,8,"Auto(L4)","R",14,19,16,16.7,25.1,19.66,"P",,,,,,,,,,2250," ","CLKUP ",2,12,
"STANDARD PICKUP TRUCKS 2WD","CHEVROLET","COLORADO 2WD",2.8,4,"Auto(L4)","R",17,23,19,19,30.04,22.76,"R",,,,,,,,,,1736," ","CLKUP ",4,12,
"STANDARD PICKUP TRUCKS 2WD","CHEVROLET","COLORADO 2WD",2.8,4,"Manual(M5)","R",20,27,23,22.4,34.92,26.71,"R",,,,,,,,,,1436," ","SIL ",4,12,
"STANDARD PICKUP TRUCKS 2WD","CHEVROLET","COLORADO 2WD",3.5,5,"Auto(L4)","R",19,24,21,20.9,31.08,24.51,"R",,,,,,,,,,1571," ","CLKUP ",4,12,
"STANDARD PICKUP TRUCKS 2WD","CHEVROLET","COLORADO 2WD",3.5,5,"Manual(M5)","R",19,25,21,21.35,32.2,25.17,"R",,,,,,,,,,1571," ","SIL ",4,12,
"STANDARD PICKUP TRUCKS 2WD","CHEVROLET","COLORADO CAB CHASSIS INC 2WD",3.5,5,"Auto(L4)","R",17,22,19,18.7,28.5,22.12,"R",,,,,,,,,,1736," ","CLKUP ",4,12,
"STANDARD PICKUP TRUCKS 2WD","CHEVROLET","COLORADO CREW CAB 2WD",2.8,4,"Auto(L4)","R",17,23,19,18.8,30,22.6,"R",,,,,,,,,,1736," ","CLKUP ",4,12,
"STANDARD PICKUP TRUCKS 2WD","CHEVROLET","COLORADO CREW CAB 2WD",2.8,4,"Manual(M5)","R",20,27,23,22.4,35.2,26.78,"R",,,,,,,,,,1436," ","SIL ",4,12,
"STANDARD PICKUP TRUCKS 2WD","CHEVROLET","COLORADO CREW CAB 2WD",3.5,5,"Auto(L4)","R",19,24,21,20.9,30.8,24.43,"R",,,,,,,,,,1571," ","CLKUP ",4,12,
"STANDARD PICKUP TRUCKS 2WD","CHEVROLET","SSR PICKUP 2WD",6,8,"Auto(L4)","R",15,19,17,16.7,25.1,19.66,"P",,,,,,,,,,2117," ","CLKUP ",2,12,
"STANDARD PICKUP TRUCKS 2WD","CHEVROLET","SSR PICKUP 2WD",6,8,"Manual(M6)","R",13,20,16,14.5,25.8,18.06,"P",,,,,,,,,,2250," ",,2,12,
"STANDARD PICKUP TRUCKS 2WD","DODGE","DAKOTA PICKUP 2WD",3.7,6,"Auto(L4)","R",16,22,18,18.1,28.1,21.55,"R",,,,,,,,,,1835," ","CLKUP ",2,12,
"STANDARD PICKUP TRUCKS 2WD","DODGE","DAKOTA PICKUP 2WD",3.7,6,"Manual(M6)","R",16,22,19,19.04,27.79,22.19,"R",,,,,,,,,,1736," ",,2,12,
"STANDARD PICKUP TRUCKS 2WD","DODGE","DAKOTA PICKUP 2WD",4.7,8,"Auto(L5)","R",15,20,17,16.7,25.5,19.77,"R",,,,,,,,,,1940," ","CLKUP ",2,12,
"STANDARD PICKUP TRUCKS 2WD","DODGE","DAKOTA PICKUP 2WD",4.7,8,"Manual(M6)","R",15,20,17,16.4,25.7,19.59,"R",,,,,,,,,,1940," ",,2,12,
"STANDARD PICKUP TRUCKS 2WD","DODGE","RAM 1500 PICKUP 2WD",3.7,6,"Auto(L4)","R",16,21,18,17.7,26.9,20.92,"R",,,,,,,,,,1835," ","CLKUP ",2,12,
"STANDARD PICKUP TRUCKS 2WD","DODGE","RAM 1500 PICKUP 2WD",3.7,6,"Manual(M6)","R",16,21,19,19.26,27.17,22.17,"R",,,,,,,,,,1736," ",,2,12,
"STANDARD PICKUP TRUCKS 2WD","DODGE","RAM 1500 PICKUP 2WD",4.7,8,"Auto(L5)","R",14,19,16,15.4,23.9,18.33,"R",,,,,,,,,,2062," ","CLKUP ",2,12,
"STANDARD PICKUP TRUCKS 2WD","DODGE","RAM 1500 PICKUP 2WD",4.7,8,"Auto(L5)","R",9,11,10,9.8,14.6,11.5,"E",,,,,,,,,,3000,"E85 260 MI","CLKUP ",2,12,
"STANDARD PICKUP TRUCKS 2WD","DODGE","RAM 1500 PICKUP 2WD",4.7,8,"Auto(L5)","R",12,15,13,13.5,20.5,15.95,"R",,,,,,,,,,2538,"GAS 340 MI","CLKUP ",2,12,
"STANDARD PICKUP TRUCKS 2WD","DODGE","RAM 1500 PICKUP 2WD",4.7,8,"Manual(M6)","R",14,19,16,15.56,23.74,18.42,"R",,,,,,,,,,2062," ",,2,12,
"STANDARD PICKUP TRUCKS 2WD","DODGE","RAM 1500 PICKUP 2WD",5.7,8,"Auto(L5)","R",15,19,17,16.3,25.6,19.49,"R",,,,,,,,,,1940," ","CLKUP ",1,12,
"STANDARD PICKUP TRUCKS 2WD","DODGE","RAM 1500 PICKUP 2WD",8.3,10,"Auto(L4)","R",9,12,10,10,15.7,11.95,"P",,,,,,,,,,3600," ",,2,12,
"STANDARD PICKUP TRUCKS 2WD","DODGE","RAM 1500 PICKUP 2WD",8.3,10,"Manual(M6)","R",9,15,11,10.47,18.7,13.06,"P",,,,,,,,,,3272," ",,2,12,
"STANDARD PICKUP TRUCKS 2WD","FORD","F150 PICKUP 2WD",4.2,6,"Auto(L4)","R",16,20,17,17.29,25.72,20.28,"R",,,,,,,,,,1940," ","CLKUP ",2,12,
"STANDARD PICKUP TRUCKS 2WD","FORD","F150 PICKUP 2WD",4.2,6,"Manual(M5)","R",15,20,17,17.1,26,20.21,"R",,,,,,,,,,1940," ",,2,12,
"STANDARD PICKUP TRUCKS 2WD","FORD","F150 PICKUP 2WD",4.6,8,"Auto(L4)","R",15,19,16,16.23,23.94,18.98,"R",,,,,,,,,,2062," ","CLKUP ",2,12,
"STANDARD PICKUP TRUCKS 2WD","FORD","F150 PICKUP 2WD",5.4,8,"Auto(L4)","R",14,19,16,16.06,24.29,18.95,"R",,,,,,,,,,2062," ","CLKUP ",3,12,
"STANDARD PICKUP TRUCKS 2WD","FORD","RANGER PICKUP 2WD",2.3,4,"Auto(L5)","R",21,26,23,23.5,33.8,27.23,"R",,,,,,,,,,1436," ","CLKUP ",4,12,
"STANDARD PICKUP TRUCKS 2WD","FORD","RANGER PICKUP 2WD",2.3,4,"Manual(M5)","R",24,29,26,26.13,37.28,30.2,"R",,,,,,,,,,1270," ",,4,12,
"STANDARD PICKUP TRUCKS 2WD","FORD","RANGER PICKUP 2WD",3,6,"Auto(L5)","R",17,23,19,19.24,28.92,22.65,"R",,,,,,,,,,1736," ","CLKUP ",2,12,
"STANDARD PICKUP TRUCKS 2WD","FORD","RANGER PICKUP 2WD",3,6,"Manual(M5)","R",18,23,20,20.11,29.61,23.5,"R",,,,,,,,,,1650," ",,2,12,
"STANDARD PICKUP TRUCKS 2WD","FORD","RANGER PICKUP 2WD",4,6,"Auto(L5)","R",17,22,19,18.37,27.88,21.7,"R",,,,,,,,,,1736," ","CLKUP ",2,12,
"STANDARD PICKUP TRUCKS 2WD","FORD","RANGER PICKUP 2WD",4,6,"Manual(M5)","R",17,23,19,19.34,28.9,22.72,"R",,,,,,,,,,1736," ",,2,12,
"STANDARD PICKUP TRUCKS 2WD","GMC","C15 SIERRA HYBRID 2WD",5.3,8,"Auto(L4)","R",18,21,19,19.8,26.5,22.34,"R",,,,,,,,,,1736," ","CLKUP ",2,12,
"STANDARD PICKUP TRUCKS 2WD","GMC","C1500 SIERRA 2WD",4.3,6,"Auto(L4)","R",16,21,18,18.3,27.4,21.52,"R",,,,,,,,,,1835," ","CLKUP ",2,12,
"STANDARD PICKUP TRUCKS 2WD","GMC","C1500 SIERRA 2WD",4.3,6,"Manual(M5)","R",16,22,18,17.8,27.7,21.21,"R",,,,,,,,,,1835," ","SIL ",2,12,
"STANDARD PICKUP TRUCKS 2WD","GMC","C1500 SIERRA 2WD",4.8,8,"Auto(L4)","R",16,21,18,18.3,26.84,21.36,"R",,,,,,,,,,1835," ","CLKUP ",2,12,
"STANDARD PICKUP TRUCKS 2WD","GMC","C1500 SIERRA 2WD",4.8,8,"Manual(M5)","R",16,21,18,18.7,28,21.99,"R",,,,,,,,,,1835," ","SIL ",2,12,
"STANDARD PICKUP TRUCKS 2WD","GMC","C1500 SIERRA 2WD",5.3,8,"Auto(L4)","R",16,20,18,17.94,26.47,20.99,"R",,,,,,,,,,1835," ","CLKUP ",2,12,
"STANDARD PICKUP TRUCKS 2WD","GMC","C1500 SIERRA 2WD",5.3,8,"Auto(L4)","R",12,16,14,13.4,20.43,15.85,"E",,,,,,,,,,2142,"RNG310-480","CLKUP ",2,12,
"STANDARD PICKUP TRUCKS 2WD","GMC","C1500 SIERRA 2WD",5.3,8,"Auto(L4)","R",16,20,18,17.67,26.77,20.87,"R",,,,,,,,,,1835,"RNG420-610","CLKUP ",2,12,
"STANDARD PICKUP TRUCKS 2WD","GMC","C1500 SIERRA 2WD",6,8,"Auto(L4)","R",14,19,16,16.7,25.1,19.66,"P",,,,,,,,,,2250," ","CLKUP ",2,12,
"STANDARD PICKUP TRUCKS 2WD","GMC","CANYON 2WD",2.8,4,"Auto(L4)","R",17,23,19,18.99,30.04,22.76,"R",,,,,,,,,,1736," ","CLKUP ",4,12,
"STANDARD PICKUP TRUCKS 2WD","GMC","CANYON 2WD",2.8,4,"Manual(M5)","R",20,27,23,22.4,34.77,26.67,"R",,,,,,,,,,1436," ","SIL ",4,12,
"STANDARD PICKUP TRUCKS 2WD","GMC","CANYON 2WD",3.5,5,"Auto(L4)","R",19,24,21,20.9,31.06,24.51,"R",,,,,,,,,,1571," ","CLKUP ",4,12,
"STANDARD PICKUP TRUCKS 2WD","GMC","CANYON 2WD",3.5,5,"Manual(M5)","R",19,25,21,21.34,32.21,25.16,"R",,,,,,,,,,1571," ","SIL ",4,12,
"STANDARD PICKUP TRUCKS 2WD","GMC","CANYON CAB CHASSIS INC 2WD",3.5,5,"Auto(L4)","R",17,22,19,18.7,28.5,22.12,"R",,,,,,,,,,1736," ","CLKUP ",4,12,
"STANDARD PICKUP TRUCKS 2WD","GMC","CANYON CREW CAB 2WD",2.8,4,"Auto(L4)","R",17,23,19,18.8,30,22.6,"R",,,,,,,,,,1736," ","CLKUP ",4,12,
"STANDARD PICKUP TRUCKS 2WD","GMC","CANYON CREW CAB 2WD",2.8,4,"Manual(M5)","R",20,27,23,22.4,35.2,26.78,"R",,,,,,,,,,1436," ","SIL ",4,12,
"STANDARD PICKUP TRUCKS 2WD","GMC","CANYON CREW CAB 2WD",3.5,5,"Auto(L4)","R",19,24,21,20.9,30.8,24.43,"R",,,,,,,,,,1571," ","CLKUP ",4,12,
"STANDARD PICKUP TRUCKS 2WD","ISUZU","I-280 2WD EXT CAB",2.8,4,"Auto(L4)","R",17,23,19,18.8,30,22.6,"R",,,,,,,,,,1736," ","CLKUP ",4,12,
"STANDARD PICKUP TRUCKS 2WD","ISUZU","I-280 2WD EXT CAB",2.8,4,"Manual(M5)","R",20,27,23,22.4,35.2,26.78,"R",,,,,,,,,,1436," ","SIL ",4,12,
"STANDARD PICKUP TRUCKS 2WD","LINCOLN","MARK LT",5.4,8,"Auto(L4)","R",15,19,16,16.15,24.35,19.03,"R",,,,,,,,,,2062," ","CLKUP ",3,12,
"STANDARD PICKUP TRUCKS 2WD","MAZDA","B2300 2WD",2.3,4,"Auto(L5)","R",21,26,23,23.5,33.8,27.23,"R",,,,,,,,,,1436," ","CLKUP ",4,12,
"STANDARD PICKUP TRUCKS 2WD","MAZDA","B2300 2WD",2.3,4,"Manual(M5)","R",24,29,26,26.13,37.28,30.2,"R",,,,,,,,,,1270," ",,4,12,
"STANDARD PICKUP TRUCKS 2WD","MAZDA","B3000",3,6,"Auto(L5)","R",17,23,19,19.19,28.87,22.6,"R",,,,,,,,,,1736," ","CLKUP ",2,12,
"STANDARD PICKUP TRUCKS 2WD","MAZDA","B3000",3,6,"Manual(M5)","R",18,23,20,20.01,29.56,23.41,"R",,,,,,,,,,1650," ",,2,12,
"STANDARD PICKUP TRUCKS 2WD","MAZDA","B4000 2WD",4,6,"Auto(L5)","R",16,22,18,18.3,27.8,21.63,"R",,,,,,,,,,1835," ","CLKUP ",2,12,
"STANDARD PICKUP TRUCKS 2WD","MAZDA","B4000 2WD",4,6,"Manual(M5)","R",17,23,19,19.34,28.9,22.72,"R",,,,,,,,,,1736," ",,2,12,
"STANDARD PICKUP TRUCKS 2WD","MITSUBISHI","RAIDER PICKUP 2WD",3.7,6,"Auto(L4)","R",16,22,18,18.1,28.1,21.55,"R",,,,,,,,,,1835," ","CLKUP ",2,12,
"STANDARD PICKUP TRUCKS 2WD","MITSUBISHI","RAIDER PICKUP 2WD",3.7,6,"Manual(M6)","R",16,22,19,19.04,27.79,22.19,"R",,,,,,,,,,1736," ",,2,12,
"STANDARD PICKUP TRUCKS 2WD","MITSUBISHI","RAIDER PICKUP 2WD",4.7,8,"Auto(L5)","R",15,20,17,16.76,25.67,19.86,"R",,,,,,,,,,1940," ","CLKUP ",2,12,
"STANDARD PICKUP TRUCKS 2WD","MITSUBISHI","RAIDER PICKUP 2WD",4.7,8,"Manual(M6)","R",15,20,17,16.4,25.7,19.59,"R",,,,,,,,,,1940," ",,2,12,
"STANDARD PICKUP TRUCKS 2WD","NISSAN","FRONTIER 2WD",2.5,4,"Auto(L5)","R",19,24,21,20.8,30.2,24.19,"R",,,,,,,,,,1571," ","CLKUP ",4,12,
"STANDARD PICKUP TRUCKS 2WD","NISSAN","FRONTIER 2WD",2.5,4,"Manual(M5)","R",22,25,23,24.5,31.8,27.32,"R",,,,,,,,,,1436," ",,4,12,
"STANDARD PICKUP TRUCKS 2WD","NISSAN","FRONTIER V6-2WD",4,6,"Auto(L5)","R",16,20,18,17.55,26.26,20.63,"R",,,,,,,,,,1835," ","CLKUP ",4,12,
"STANDARD PICKUP TRUCKS 2WD","NISSAN","FRONTIER V6-2WD",4,6,"Manual(M6)","R",17,21,19,18.95,27.33,21.98,"R",,,,,,,,,,1736," ",,4,12,
"STANDARD PICKUP TRUCKS 2WD","NISSAN","TITAN 2WD",5.6,8,"Auto(L5)","R",14,18,16,15.45,23.7,18.32,"R",,,,,,,,,,2062," ","CLKUP ",4,12,
"STANDARD PICKUP TRUCKS 2WD","NISSAN","TITAN 2WD",5.6,8,"Auto(L5)","R",10,14,12,11.45,17.48,13.56,"E",,,,,,,,,,2499,"RNG310/330","CLKUP ",4,12,
"STANDARD PICKUP TRUCKS 2WD","NISSAN","TITAN 2WD",5.6,8,"Auto(L5)","R",14,19,16,15.64,23.88,18.52,"R",,,,,,,,,,2062,"RNG420/450","CLKUP ",4,12,
"STANDARD PICKUP TRUCKS 2WD","TOYOTA","TOYOTA TACOMA 2WD",2.7,4,"Auto(L4)","R",21,26,23,23.01,33.91,26.9,"R",,,,,,,,,,1436," ","CLKUP ",4,12,
"STANDARD PICKUP TRUCKS 2WD","TOYOTA","TOYOTA TACOMA 2WD",2.7,4,"Manual(M5)","R",20,27,23,22.5,34.6,26.7,"R",,,,,,,,,,1436," ",,4,12,
"STANDARD PICKUP TRUCKS 2WD","TOYOTA","TOYOTA TACOMA 2WD",4,6,"Auto(L5)","R",18,22,20,20.5,28.6,23.49,"R",,,,,,,,,,1650," ","CLKUP ",4,12,
"STANDARD PICKUP TRUCKS 2WD","TOYOTA","TOYOTA TACOMA 2WD",4,6,"Manual(M6)","R",16,21,18,17.7,26.3,20.75,"R",,,,,,,,,,1835," ",,4,12,
"STANDARD PICKUP TRUCKS 2WD","TOYOTA","TOYOTA TUNDRA 2WD",4,6,"Auto(L5)","R",18,22,20,20.42,28.5,23.41,"R",,,,,,,,,,1650," ","CLKUP ",4,12,
"STANDARD PICKUP TRUCKS 2WD","TOYOTA","TOYOTA TUNDRA 2WD",4,6,"Manual(M6)","R",16,20,17,17.53,25.68,20.45,"R",,,,,,,,,,1940," ",,4,12,
"STANDARD PICKUP TRUCKS 2WD","TOYOTA","TOYOTA TUNDRA 2WD",4.7,8,"Auto(L5)","R",16,19,17,17.48,23.84,19.86,"R",,,,,,,,,,1940," ","CLKUP ",4,12,
"STANDARD PICKUP TRUCKS 4WD","CHEVROLET","COLORADO 4WD",2.8,4,"Auto(L4)",4,16,22,19,18.13,28.64,21.72,"R",,,,,,,,,,1736," ","CLKUP ",4,13,
"STANDARD PICKUP TRUCKS 4WD","CHEVROLET","COLORADO 4WD",2.8,4,"Manual(M5)",4,18,23,20,19.8,29.6,23.27,"R",,,,,,,,,,1650," ","SIL ",4,13,
"STANDARD PICKUP TRUCKS 4WD","CHEVROLET","COLORADO 4WD",3.5,5,"Auto(L4)",4,18,22,19,19.7,28.4,22.85,"R",,,,,,,,,,1736," ","CLKUP ",4,13,
"STANDARD PICKUP TRUCKS 4WD","CHEVROLET","COLORADO 4WD",3.5,5,"Manual(M5)",4,19,24,21,20.6,30.5,24.12,"R",,,,,,,,,,1571," ","SIL ",4,13,
"STANDARD PICKUP TRUCKS 4WD","CHEVROLET","COLORADO CREW CAB 4WD",2.8,4,"Auto(L4)",4,16,22,19,18.13,28.64,21.72,"R",,,,,,,,,,1736," ","CLKUP ",4,13,
"STANDARD PICKUP TRUCKS 4WD","CHEVROLET","COLORADO CREW CAB 4WD",2.8,4,"Manual(M5)",4,18,23,20,19.8,29.6,23.27,"R",,,,,,,,,,1650," ","SIL ",4,13,
"STANDARD PICKUP TRUCKS 4WD","CHEVROLET","COLORADO CREW CAB 4WD",3.5,5,"Auto(L4)",4,17,22,19,19.3,28.6,22.61,"R",,,,,,,,,,1736," ","CLKUP ",4,13,
"STANDARD PICKUP TRUCKS 4WD","CHEVROLET","K15 SILVERADO HYBRID 4WD",5.3,8,"Auto(L4)",4,17,19,18,18.5,24.9,20.92,"R",,,,,,,,,,1835," ","CLKUP ",2,13,
"STANDARD PICKUP TRUCKS 4WD","CHEVROLET","K1500 SILVERADO 4WD",4.3,6,"Auto(L4)",4,15,18,16,16.6,23.4,19.1,"R",,,,,,,,,,2062," ","CLKUP ",2,13,
"STANDARD PICKUP TRUCKS 4WD","CHEVROLET","K1500 SILVERADO 4WD",4.3,6,"Manual(M5)",4,15,20,17,16.54,25.05,19.53,"R",,,,,,,,,,1940," ","SIL ",2,13,
"STANDARD PICKUP TRUCKS 4WD","CHEVROLET","K1500 SILVERADO 4WD",4.8,8,"Auto(L4)",4,15,19,17,17.06,24.4,19.73,"R",,,,,,,,,,1940," ","CLKUP ",2,13,
"STANDARD PICKUP TRUCKS 4WD","CHEVROLET","K1500 SILVERADO 4WD",4.8,8,"Manual(M5)",4,15,19,17,17.3,25.3,20.17,"R",,,,,,,,,,1940," ","SIL ",2,13,
"STANDARD PICKUP TRUCKS 4WD","CHEVROLET","K1500 SILVERADO 4WD",5.3,8,"Auto(L4)",4,15,19,17,16.62,24.38,19.4,"R",,,,,,,,,,1940," ","CLKUP ",2,13,
"STANDARD PICKUP TRUCKS 4WD","CHEVROLET","K1500 SILVERADO 4WD",5.3,8,"Auto(L4)",4,11,14,13,12.73,18.51,14.82,"E",,,,,,,,,,2307,"RNG310-440","CLKUP ",2,13,
"STANDARD PICKUP TRUCKS 4WD","CHEVROLET","K1500 SILVERADO 4WD",5.3,8,"Auto(L4)",4,15,19,16,16.89,24.48,19.63,"R",,,,,,,,,,2062,"RNG420-580","CLKUP ",2,13,
"STANDARD PICKUP TRUCKS 4WD","CHEVROLET","K1500 SILVERADO 4WD",6,8,"Auto(L4)",4,14,17,15,15.7,22.4,18.14,"P",,,,,,,,,,2401," ","CLKUP ",2,13,
"STANDARD PICKUP TRUCKS 4WD","DODGE","DAKOTA PICKUP 4WD",3.7,6,"Auto(L4)",4,15,19,17,16.91,24.51,19.65,"R",,,,,,,,,,1940," ","CLKUP ",2,13,
"STANDARD PICKUP TRUCKS 4WD","DODGE","DAKOTA PICKUP 4WD",3.7,6,"Manual(M6)",4,16,20,18,18.2,25.75,20.96,"R",,,,,,,,,,1835," ",,2,13,
"STANDARD PICKUP TRUCKS 4WD","DODGE","DAKOTA PICKUP 4WD",4.7,8,"Auto(L5)",4,15,20,17,16.8,25.8,19.93,"R",,,,,,,,,,1940," ","CLKUP ",2,13,
"STANDARD PICKUP TRUCKS 4WD","DODGE","DAKOTA PICKUP 4WD",4.7,8,"Manual(M6)",4,15,19,17,16.3,25.3,19.41,"R",,,,,,,,,,1940," ",,2,13,
"STANDARD PICKUP TRUCKS 4WD","DODGE","RAM 1500 PICKUP 4WD",4.7,8,"Auto(L5)",4,14,18,15,15.17,22.83,17.87,"R",,,,,,,,,,2201," ","CLKUP ",2,13,
"STANDARD PICKUP TRUCKS 4WD","DODGE","RAM 1500 PICKUP 4WD",4.7,8,"Auto(L5)",4,9,11,10,9.8,14.6,11.5,"E",,,,,,,,,,3000,"E85 260 MI","CLKUP ",2,13,
"STANDARD PICKUP TRUCKS 4WD","DODGE","RAM 1500 PICKUP 4WD",4.7,8,"Auto(L5)",4,12,15,13,13.5,20.5,15.95,"R",,,,,,,,,,2538,"GAS 340 MI","CLKUP ",2,13,
"STANDARD PICKUP TRUCKS 4WD","DODGE","RAM 1500 PICKUP 4WD",4.7,8,"Manual(M6)",4,14,18,16,15.75,23.61,18.52,"R",,,,,,,,,,2062," ",,2,13,
"STANDARD PICKUP TRUCKS 4WD","DODGE","RAM 1500 PICKUP 4WD",5.7,8,"Auto(L5)",4,14,18,16,15.79,24.56,18.81,"R",,,,,,,,,,2062," ","CLKUP ",1,13,
"STANDARD PICKUP TRUCKS 4WD","FORD","F150 PICKUP 4WD",4.6,8,"Auto(L4)",4,14,18,16,15.98,23.37,18.63,"R",,,,,,,,,,2062," ","CLKUP ",2,13,
"STANDARD PICKUP TRUCKS 4WD","FORD","F150 PICKUP 4WD",5.4,8,"Auto(L4)",4,14,18,15,15.34,22.44,17.88,"R",,,,,,,,,,2201," ","CLKUP ",3,13,
"STANDARD PICKUP TRUCKS 4WD","FORD","RANGER PICKUP 4WD",3,6,"Auto(L5)",4,16,20,18,18,25.6,20.77,"R",,,,,,,,,,1835," ","CLKUP ",2,13,
"STANDARD PICKUP TRUCKS 4WD","FORD","RANGER PICKUP 4WD",3,6,"Manual(M5)",4,17,21,18,19,26.35,21.73,"R",,,,,,,,,,1835," ",,2,13,
